Inference for Stan model: hmm-semisup-orig.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                       mean se_mean    sd     2.5%      25%      50%      75%    97.5% n_eff    Rhat
y_star[6,4]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[6,5]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[6,6]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[6,7]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[6,8]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[6,9]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[6,10]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,1]            2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[7,2]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,3]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,4]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,5]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,6]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,7]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,8]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,9]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[7,10]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,1]            2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[8,2]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,3]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,4]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,5]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,6]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,7]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,8]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,9]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[8,10]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,1]            2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[9,2]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,3]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,4]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,5]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,6]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,7]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,8]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,9]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[9,10]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[10,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[10,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[11,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[11,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
