Inference for Stan model: hmm_simple.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                    mean se_mean   sd      2.5%       25%       50%       75%     97.5% n_eff  Rhat
theta[2,3]          0.49    0.47 0.48      0.01      0.02      0.49      0.97      0.98     1 87.99
theta[3,1]          0.49    0.47 0.48      0.01      0.02      0.49      0.97      0.98     1 87.43
theta[3,2]          0.02    0.00 0.01      0.01      0.01      0.02      0.02      0.03   200  1.00
theta[3,3]          0.49    0.47 0.48      0.01      0.02      0.49      0.97      0.98     1 87.19
phi[1,1,1]          0.17    0.01 0.01      0.16      0.16      0.17      0.18      0.18     1  5.08
phi[1,1,2]          0.15    0.00 0.00      0.15      0.15      0.15      0.15      0.16     1  2.24
phi[1,1,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.12     4  1.09
phi[1,1,4]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.42
phi[1,1,5]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  2.53
phi[1,1,6]          0.16    0.01 0.01      0.15      0.15      0.16      0.16      0.16     1  3.76
phi[1,1,7]          0.11    0.00 0.00      0.10      0.10      0.11      0.11      0.11     1  2.01
phi[1,1,8]          0.07    0.00 0.00      0.06      0.07      0.07      0.07      0.07     1  3.37
phi[1,1,9]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.32
phi[1,2,1]          0.16    0.00 0.00      0.16      0.16      0.16      0.16      0.17   200  1.00
phi[1,2,2]          0.15    0.00 0.00      0.14      0.15      0.15      0.15      0.15   200  0.99
phi[1,2,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13   200  0.99
phi[1,2,4]          0.07    0.00 0.00      0.07      0.07      0.07      0.07      0.07   200  0.99
phi[1,2,5]          0.10    0.00 0.00      0.09      0.09      0.10      0.10      0.10   200  0.99
phi[1,2,6]          0.15    0.00 0.00      0.15      0.15      0.15      0.15      0.15   200  0.99
phi[1,2,7]          0.11    0.00 0.00      0.11      0.11      0.11      0.11      0.11   200  1.00
phi[1,2,8]          0.07    0.00 0.00      0.07      0.07      0.07      0.07      0.07   200  0.99
phi[1,2,9]          0.07    0.00 0.00      0.07      0.07      0.07      0.07      0.07   200  1.00
phi[1,3,1]          0.17    0.01 0.01      0.16      0.16      0.17      0.18      0.18     1  5.06
phi[1,3,2]          0.15    0.00 0.00      0.14      0.15      0.15      0.15      0.16     1  2.46
phi[1,3,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     4  1.10
phi[1,3,4]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.57
phi[1,3,5]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  2.67
phi[1,3,6]          0.16    0.01 0.01      0.15      0.15      0.16      0.16      0.16     1  3.86
phi[1,3,7]          0.11    0.00 0.00      0.10      0.10      0.11      0.11      0.11     1  2.12
phi[1,3,8]          0.07    0.00 0.00      0.06      0.07      0.07      0.07      0.07     1  3.33
phi[1,3,9]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.41
phi[2,1,1]          0.25    0.01 0.01      0.23      0.24      0.25      0.26      0.26     1  2.50
phi[2,1,2]          0.19    0.00 0.00      0.19      0.19      0.19      0.20      0.20   200  1.04
phi[2,1,3]          0.12    0.00 0.00      0.11      0.12      0.12      0.12      0.12     2  1.29
phi[2,1,4]          0.03    0.00 0.00      0.03      0.03      0.03      0.03      0.03     1  2.11
