Inference for Stan model: hmm_simple.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                   mean se_mean   sd      2.5%       25%       50%       75%
b1[5,7]            0.00    0.00 0.01     -0.03     -0.01      0.00      0.00
b1[5,8]           -0.02    0.00 0.01     -0.04     -0.02     -0.02     -0.01
b1[5,9]           -0.02    0.00 0.01     -0.03     -0.02     -0.02     -0.01
b2[1]              0.22    0.00 0.00      0.22      0.22      0.22      0.23
b2[2]              0.17    0.00 0.01      0.16      0.17      0.17      0.18
b2[3]              0.08    0.00 0.01      0.06      0.07      0.08      0.08
b2[4]             -0.21    0.00 0.01     -0.22     -0.21     -0.21     -0.20
b2[5]             -0.06    0.00 0.01     -0.07     -0.06     -0.05     -0.05
b2[6]              0.18    0.00 0.00      0.18      0.18      0.18      0.19
b2[7]              0.01    0.00 0.01      0.00      0.01      0.01      0.02
b2[8]             -0.20    0.00 0.01     -0.21     -0.20     -0.19     -0.19
b2[9]             -0.21    0.00 0.01     -0.23     -0.22     -0.21     -0.21
alpha[1]           0.20    0.00 0.00      0.19      0.20      0.20      0.20
alpha[2]           0.20    0.00 0.00      0.19      0.20      0.20      0.20
alpha[3]           0.20    0.00 0.00      0.19      0.20      0.20      0.20
alpha[4]           0.20    0.00 0.00      0.19      0.20      0.20      0.20
alpha[5]           0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[1,1]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[1,2]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[1,3]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[1,4]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[1,5]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[2,1]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[2,2]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[2,3]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[2,4]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[2,5]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[3,1]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[3,2]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[3,3]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[3,4]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[3,5]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[4,1]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[4,2]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[4,3]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[4,4]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[4,5]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[5,1]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[5,2]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[5,3]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[5,4]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
theta[5,5]         0.20    0.00 0.00      0.19      0.20      0.20      0.20
phi[1,1,1]         0.17    0.00 0.00      0.16      0.17      0.17      0.17
phi[1,1,2]         0.15    0.00 0.00      0.15      0.15      0.15      0.15
phi[1,1,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[1,1,4]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,1,5]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[1,1,6]         0.15    0.00 0.00      0.15      0.15      0.15      0.16
phi[1,1,7]         0.11    0.00 0.00      0.10      0.11      0.11      0.11
phi[1,1,8]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,1,9]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,2,1]         0.17    0.00 0.00      0.16      0.17      0.17      0.17
phi[1,2,2]         0.15    0.00 0.00      0.15      0.15      0.15      0.15
phi[1,2,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[1,2,4]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,2,5]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[1,2,6]         0.15    0.00 0.00      0.15      0.15      0.15      0.16
phi[1,2,7]         0.11    0.00 0.00      0.10      0.11      0.11      0.11
phi[1,2,8]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,2,9]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,3,1]         0.17    0.00 0.00      0.16      0.17      0.17      0.17
phi[1,3,2]         0.15    0.00 0.00      0.15      0.15      0.15      0.15
phi[1,3,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[1,3,4]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,3,5]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[1,3,6]         0.15    0.00 0.00      0.15      0.15      0.15      0.16
phi[1,3,7]         0.11    0.00 0.00      0.10      0.11      0.11      0.11
phi[1,3,8]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,3,9]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,4,1]         0.17    0.00 0.00      0.16      0.17      0.17      0.17
phi[1,4,2]         0.15    0.00 0.00      0.15      0.15      0.15      0.15
phi[1,4,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
phi[1,4,4]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,4,5]         0.09    0.00 0.00      0.09      0.09      0.09      0.09
phi[1,4,6]         0.15    0.00 0.00      0.15      0.15      0.15      0.16
phi[1,4,7]         0.11    0.00 0.00      0.10      0.11      0.11      0.11
phi[1,4,8]         0.07    0.00 0.00      0.07      0.07      0.07      0.07
phi[1,4,9]         0.07    0.00 0.00      0.06      0.07      0.07      0.07
phi[1,5,1]         0.17    0.00 0.00      0.16      0.17      0.17      0.17
phi[1,5,2]         0.15    0.00 0.00      0.15      0.15      0.15      0.15
phi[1,5,3]         0.12    0.00 0.00      0.12      0.12      0.12      0.12
